27,5,
142.695,367.90,211.37,166.30,140.36,
144.34,196.30,211.37,166.30,140.36,
144.80,65.70,209.91,166.52,139.97,
146.03,93.60,210.08,166.63,149.31,
155.74,25.70,209.96,166.57,150.46,
155.39,66.70,209.96,166.50,150.57,
155.28,11.1,209.99,166.50,150.37,
154.11,18.9,209.96,166.53,147.69,
152.96,3.6,209.98,166.50,147.96,
153.5,89,209.97,166.64,146.99,
151.06,136.8,210.19,166.62,147.52,
145.58,116.8,210.31,166.95,140.62,
145.52,83.5,211.81,167.48,141.42,
145.57,312.4,210.54,167.27,141.64,
145.72,308.4,210.40,167.22,143.94,
148.74,60.1,210.47,167.01,153.5,
148.74,60.1,210.47,167.01,153.5,
172.65,119.1,210.56,168.17,167.67,
170.66,38.1,210.66,167.23,167.37,
170.66,38.1,210.66,167.23,167.37,
169.2,3.6,210.52,167.35,167.35,
168.83,13.9,210.40,167.13,167.93,
164.88,30.6,210.16,166.53,165.47,
160.42,49.3,211.26,168.30,156.31,
159.7,104.4,210.85,166.72,152.31,
150.37,181.1,211.40,168.00,149.39,
146.33,160.2,211.56,168.40,147.91,
